month,all_600_2500,all_1000_1200,all_1400_1600,all_1600_1800,all_2000_2500
12/1/16,4.457275,2.2888424,4.3437324,4.868576,3.6543038
1/1/17,4.4414306,2.4331586,4.379482,4.8609943,3.5644305
2/1/17,4.5650673,2.7140915,4.58311,4.9285545,3.6870916
3/1/17,4.5263553,2.8210032,4.6117063,4.8173866,3.626698
4/1/17,4.4798064,2.8585527,4.6034474,4.760445,3.4965441
5/1/17,4.561947,3.0231168,4.749753,4.7991095,3.4992802
6/1/17,4.592385,3.1795356,4.853335,4.7729936,3.467013
7/1/17,4.6416907,3.1768706,4.871189,4.8685346,3.4415417
8/1/17,4.594186,3.2513602,4.883273,4.752642,3.4075205
9/1/17,4.5478487,3.2981896,4.8057203,4.729,3.3640335
10/1/17,4.487322,3.3242674,4.742538,4.6713076,3.3046112
11/1/17,4.619865,3.3649788,4.9169455,4.820207,3.3561847
12/1/17,4.6518855,3.4863322,5.0468903,4.753003,3.453112
1/1/18,4.6441307,3.581008,5.053181,4.7384195,3.3850672
2/1/18,4.677193,3.549765,5.141857,4.7393465,3.4627693
3/1/18,4.675439,3.6158605,5.1061397,4.789644,3.3856866
4/1/18,4.6327934,3.6960602,5.062475,4.728976,3.3253922
5/1/18,4.59943,3.8014727,5.0452523,4.650619,3.2552993
6/1/18,4.5563164,3.707045,4.934247,4.6814847,3.2570443
7/1/18,4.5678163,3.792779,4.9155846,4.6830006,3.3917365
8/1/18,4.597618,3.795727,4.99091,4.701177,3.3181317
9/1/18,4.619366,3.7736669,5.0496454,4.699237,3.3350098
10/1/18,4.6317997,3.6787894,5.0818524,4.717574,3.4150636
11/1/18,4.584434,3.6243854,5.051143,4.688217,3.3452985
12/1/18,4.4926453,3.5432606,4.92148,4.6603513,3.2588685
1/1/19,4.5118523,3.6270907,4.9547443,4.657292,3.2392907
2/1/19,4.4221663,3.3095372,4.8509383,4.6681876,3.300819
3/1/19,4.3668046,3.26778,4.7695203,4.648565,3.184313
4/1/19,4.3724017,3.3682535,4.7833357,4.605975,3.1914883
5/1/19,4.3674664,3.405547,4.7439165,4.595867,3.3017921
6/1/19,4.4007425,3.4598632,4.7433796,4.6442127,3.3883548
7/1/19,4.3774085,3.4004586,4.7290254,4.6300855,3.379132
8/1/19,4.335022,3.324103,4.637293,4.6182556,3.4083269
9/1/19,4.2831783,3.1711056,4.5803385,4.608533,3.4272602
10/1/19,4.2665477,3.0978022,4.517048,4.663383,3.4391587
11/1/19,4.248649,2.950731,4.4268565,4.7258015,3.510077
12/1/19,4.2554736,3.0344806,4.3956823,4.7284603,3.563482
1/1/20,4.2881126,3.0740652,4.3755455,4.77035,3.6311204
2/1/20,4.2485127,2.8884802,4.2995048,4.7511864,3.6453524
3/1/20,4.0961,2.614755,4.0685935,4.626339,3.5634134
4/1/20,4.1335654,2.7341766,4.1331034,4.6297874,3.5672708
5/1/20,4.1113977,2.8487177,4.153761,4.533516,3.5801563
6/1/20,4.143711,2.9883893,4.1953945,4.550445,3.5624719
7/1/20,4.0611997,2.8924236,4.102674,4.456949,3.5299323
8/1/20,4.07109,2.901861,4.0979047,4.484436,3.521711
9/1/20,4.0131135,2.8272653,4.0320835,4.420974,3.532539
10/1/20,4.243655,3.4457984,4.4022126,4.558034,3.5949898
11/1/20,4.18091,3.242948,4.308072,4.562325,3.6590376
12/1/20,4.1254854,2.9908102,4.2792807,4.5711765,3.6609023
1/1/21,4.0816483,2.9242504,4.2025614,4.547089,3.7442803
2/1/21,3.9569352,2.7691202,4.0137987,4.4553194,3.7490683
3/1/21,3.860064,2.6071165,3.899515,4.3816986,3.6845806
4/1/21,3.911699,2.667862,3.9352903,4.412658,3.7550676
5/1/21,3.9007592,2.5987725,3.8833477,4.4097767,3.7983053
6/1/21,3.953807,2.618193,3.9111505,4.4534273,3.8645961
7/1/21,3.9475384,2.6051552,3.9031887,4.435678,3.860971
8/1/21,3.9203532,2.6017466,3.8615775,4.3987317,3.8620737
9/1/21,3.901332,2.5657551,3.816924,4.3804793,3.870452
10/1/21,3.9160428,2.6258855,3.8578188,4.3655014,3.8733346
11/1/21,3.9626637,2.6993861,3.9291217,4.400226,3.8909879
12/1/21,3.9631977,2.7643332,3.9374642,4.4133883,3.8638027
1/1/22,3.9769027,2.7436695,3.9720852,4.439026,3.8716912
2/1/22,3.9243362,2.6573322,3.9097269,4.3974957,3.8455114
3/1/22,3.9852693,2.7610435,3.9792604,4.4472733,3.8527253
4/1/22,3.9824386,2.760379,3.967571,4.436032,3.86738
5/1/22,3.9932396,2.8089736,3.9919167,4.4278674,3.8502953
6/1/22,3.9664435,2.7479248,3.98892,4.410182,3.786768
7/1/22,3.9629483,2.7668357,3.9615436,4.405267,3.8199608
8/1/22,3.9694223,2.8292658,3.9802046,4.396838,3.8222222
9/1/22,3.9481642,2.8272932,3.97079,4.393723,3.7604234
10/1/22,3.896021,2.7435856,3.9144397,4.357988,3.7273536
10/2/22,3.8882558,2.7051885,3.8994608,4.371908,3.7545078
